Label,Price,Nutshell Product ID,Comments,EZCater Name and Customization,EZCater Customization,Old Item Name,Product Text Archive,Subcategory Text Archive,GC Value Text Archive,EZC Menu Item,Product,Subcategory,Gift Card Amount
"Signature Boxed Lunch - Ham, Bacon & Swiss Lettuce Wrap",$10.99 ,15-products,,"Signature Sandwich Boxed Lunches - Ham, Bacon & Swiss Lettuce Wrap","Ham, Bacon & Swiss Lettuce Wrap",,Signature Boxed Lunch,"Ham, Bacon & Swiss Lettuce Wrap",,,Signature Boxed Lunch,"Ham, Bacon & Swiss Lettuce Wrap",
Signature Boxed Lunch - California Veggie,$10.99 ,15-products,,Signature Sandwich Boxed Lunches - California Veggie Sandwich,California Veggie Sandwich,,Signature Boxed Lunch,California Veggie,,,Signature Boxed Lunch,California Veggie,
Signature Boxed Lunch - Chicken Salad,$10.99 ,15-products,,Signature Sandwich Boxed Lunches - Chicken Salad Sandwich,Chicken Salad Sandwich,,Signature Boxed Lunch,Chicken Salad,,,Signature Boxed Lunch,Chicken Salad,
Signature Boxed Lunch - Ham Salad,$10.99 ,15-products,,Signature Sandwich Boxed Lunches - Ham Salad Sandwich,Ham Salad Sandwich,,Signature Boxed Lunch,Ham Salad,,,Signature Boxed Lunch,Ham Salad,
Signature Boxed Lunch - Smoked Turkey Classic,$10.99 ,15-products,,Signature Sandwich Boxed Lunches - Smoked Turkey Classic Sandwich,Smoked Turkey Classic Sandwich,,Signature Boxed Lunch,Smoked Turkey Classic,,,Signature Boxed Lunch,Smoked Turkey Classic,
Signature Boxed Lunch - Roasted Turkey Classic,$10.99 ,15-products,,Signature Sandwich Boxed Lunches - Roasted Turkey Classic Sandwich,Roasted Turkey Classic Sandwich,,Signature Boxed Lunch,Roasted Turkey Classic,,,Signature Boxed Lunch,Roasted Turkey Classic,
Signature Boxed Lunch - Ham Classic,$10.99 ,15-products,,Signature Sandwich Boxed Lunches - Ham Classic Sandwich,Ham Classic Sandwich,,Signature Boxed Lunch,Ham Classic,,,Signature Boxed Lunch,Ham Classic,
Gluten-Friendly Boxed Lunch - Ham Classic Wrap,$13.99 ,379-products,,Gluten-Friendly Wrap Boxed Lunch - Ham Classic Wrap,Ham Classic Wrap,,Gluten-Friendly Boxed Lunch,Ham Classic Wrap,,,Gluten-Friendly Boxed Lunch,Ham Classic Wrap,
Gluten-friendly Brownie,$3.49 ,71-products,,Gluten-Friendly Brownie,,,Gluten-friendly Brownie,,,,Gluten-friendly Brownie,,
Gluten-Friendly Boxed Lunch - Roasted Turkey Classic Wrap,$13.99 ,379-products,,Gluten-Friendly Wrap Boxed Lunch - Roasted Turkey Classic Wrap,Roasted Turkey Classic Wrap,,Gluten-Friendly Boxed Lunch,Roasted Turkey Classic Wrap,,,Gluten-Friendly Boxed Lunch,Roasted Turkey Classic Wrap,
