Label,Price,Nutshell Product ID,Comments,EZCater Name and Customization,EZCater Customization,Old Item Name,Product Text Archive,Subcategory Text Archive,GC Value Text Archive,EZC Menu Item,Product,Subcategory,Gift Card Amount
Premium Boneless Ham - Business Gifting - Half (serves up to 10),$57.00 ,143-products,,,,,Premium Boneless Ham - Business Gifting,Half (serves up to 10),,,Premium Boneless Ham - Business Gifting,Half (serves up to 10),
Signature Bone-in Ham - Business Gifting - Deluxe,$102.00 ,179-products,,,,,Signature Bone-in Ham - Business Gifting,Deluxe,,,Signature Bone-in Ham - Business Gifting,Deluxe,
Signature Bone-in Ham - Business Gifting - Large,$93.00 ,175-products,,,,,Signature Bone-in Ham - Business Gifting,Large,,,Signature Bone-in Ham - Business Gifting,Large,
Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch - California Veggie Lettuce Wrap,$13.99 ,567-products,,,,,Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch,California Veggie Lettuce Wrap,,N,Lettuce Wrap with Gluten-Friendly Brownie Boxed Lunch,California Veggie Lettuce Wrap,
Cake - Carrot,$27.99 ,371-products,,,,,Cake,Carrot,,,Cake,Carrot,
Coffee Cake Tray - Blueberry Coffee Cake,$2.99 ,59-products,,,,,,,,Y,,,
Coffee Cake Tray - Most Popular,$2.99 ,59-products,,,,,,,,Y,,,
Sandwich Builder Buffet - Smoked Turkey Breast,$9.49 ,79-products,,,,,,,,Y,,,
Sandwich Builder Buffet - Roasted Turkey Breast,$9.49 ,79-products,,,,,,,,Y,,,
Sandwich Builder Buffet - Assorted,$9.49 ,79-products,,,,,,,,Y,,,
Sandwich Builder Buffet - HoneyBaked Ham,$9.49 ,79-products,,,,,,,,Y,,,
Supreme Sandwich Tray,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 4 Vegetarians,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 3 Vegetarians,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 2 Vegetarians,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 1 Vegetarian,$10.49 ,75-products,,,,,,,,Y,,,
Supreme Sandwich Tray - 0 Vegetarians,$10.49 ,75-products,,,,,,,,Y,,,
VIP Buffet - Smoked Turkey Breast,$11.99 ,7-products,,,,,,,,Y,,,
The Sandwich Builder Buffet - Assorted,$9.49 ,79-products,,,,,,,,Y,,,
Signature Meat & Cheese Tray - Assorted,$69.99 ,487-products,,,,,,,,Y,,,
VIP Buffet - Roasted Turkey Breast,$11.99 ,7-products,,,,,,,,Y,,,
VIP Buffet - Assorted,$11.99 ,7-products,,,,,,,,Y,,,
VIP Buffet - HoneyBaked Ham,$11.99 ,7-products,,,,,,,,Y,,,
"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies) - Turkey Smoked",$11.99 ,7-products,,,,,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Turkey Smoked,,N,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Turkey Smoked,
Bottled Water,$1.99 ,51-products,,,,,,,,Y,Bottled Water,,
Coffee Cake Tray - Cinnamon Walnut Coffee Cake,$2.99 ,59-products,,,,,,,,Y,,,
Assorted Coca-Cola Beverages - Assorted Diet Sodas,$1.59 ,47-products,,,,,,,,Y,,,
Assorted Coca-Cola Beverages - Half Diet & Half Regular Sodas,$1.59 ,47-products,,,,,,,,Y,,,
Breakfast Pastry Tray,$1.99 ,55-products,,,,,,,,Y,,,
Honey Baked Ham & Cheddar Biscuit Box,$29.99 ,403-products,,,,,,,,Y,,,
Signature Breakfast Sandwich Tray - Egg & Cheese,$6.99 ,27-products,,,,,,,,Y,,,
"Signature Breakfast Sandwich Tray - Bacon, Egg & Cheddar",$6.99 ,27-products,,,,,,,,Y,,,
"Signature Breakfast Sandwich Tray - Turkey, Egg & Cheddar",$6.99 ,27-products,,,,,,,,Y,,,
"Signature Breakfast Sandwich Tray - HoneyBaked Ham, Bacon, Egg & Cheddar",$6.99 ,27-products,,,,,,,,Y,,,
"Signature Breakfast Sandwich Tray - HoneyBaked Ham, Egg & Cheddar",$6.99 ,27-products,,,,,,,,Y,,,
Signature Breakfast Sandwich Tray - Assorted,$6.99 ,27-products,,,,,,,,Y,,,
Boxed Breakfast - Egg & Cheddar,$11.49 ,155-products,,,,,,,,Y,,,
"Boxed Breakfast - Bacon, Egg & Cheddar",$11.49 ,155-products,,,,,,,,Y,,,
"Boxed Breakfast - Turkey, Egg & Cheddar",$11.49 ,155-products,,,,,,,,Y,,,
"Boxed Breakfast - HoneyBaked Ham, Bacon, Egg & Cheddar",$11.49 ,155-products,,,,,,,,Y,,,
"Boxed Breakfast - HoneyBaked Ham, Egg & Cheddar",$11.49 ,155-products,,,,,,,,Y,,,
Boxed Breakfast - Assorted,$11.49 ,155-products,,,,,,,,Y,,,
Gallon Lemonade,$7.99 ,111-products,,,,,,,,Y,,,
Gallon Unsweet Tea,$7.99 ,115-products,,,,,,,,Y,,,
Gallon Sweet Tea,$7.99 ,115-products,,,,,,,,Y,,,
Assorted Coca-Cola Beverages - Assorted Regular Sodas,$1.59 ,47-products,,,,,,,,Y,,,
Cake - Rum,$27.99 ,507-products,,,,,Cake,Rum,,,Cake,Rum,
Coffee Cake - Blueberry,$24.99 ,311-products,,,,,Coffee Cake,Blueberry,,,Coffee Cake,Blueberry,
Coffee Cake,$24.99 ,311-products,,,,,Coffee Cake,,,,Coffee Cake,,
$75 Gift Card - Activate Remotely,$75.00 ,219-products,,,,,Gift Card,Activate Remotely,$75.00 ,,Gift Card,Activate Remotely,$75.00 
$75 Gift Card - Activate in Store,$75.00 ,219-products,,,,,Gift Card,Activate in Store,$75.00 ,,Gift Card,Activate in Store,$75.00 
$100 Gift Card - Activate Remotely,$100.00 ,223-products,,,,,Gift Card,Activate Remotely,$100.00 ,,Gift Card,Activate Remotely,$100.00 
$100 Gift Card - Activate in Store,$100.00 ,223-products,,,,,Gift Card,Activate in Store,$100.00 ,,Gift Card,Activate in Store,$100.00 
$65 Gift Card - Activate Remotely,$65.00 ,227-products,,,,,Gift Card,Activate Remotely,$65.00 ,,Gift Card,Activate Remotely,$65.00 
$65 Gift Card - Activate in Store,$65.00 ,227-products,,,,,Gift Card,Activate in Store,$65.00 ,,Gift Card,Activate in Store,$65.00 
$30 Gift Card - Activate Remotely,$30.00 ,231-products,,,,,Gift Card,Activate Remotely,$30.00 ,,Gift Card,Activate Remotely,$30.00 
$30 Gift Card - Activate in Store,$30.00 ,231-products,,,,,Gift Card,Activate in Store,$30.00 ,,Gift Card,Activate in Store,$30.00 
$20 Gift Card - Activate Remotely,$20.00 ,255-products,,,,,Gift Card,Activate Remotely,$20.00 ,,Gift Card,Activate Remotely,$20.00 
$20 Gift Card - Activate in Store,$20.00 ,255-products,,,,,Gift Card,Activate in Store,$20.00 ,,Gift Card,Activate in Store,$20.00 
$35 Gift Card - Activate Remotely,$35.00 ,259-products,,,,,Gift Card,Activate Remotely,$35.00 ,,Gift Card,Activate Remotely,$35.00 
$35 Gift Card - Activate in Store,$35.00 ,259-products,,,,,Gift Card,Activate in Store,$35.00 ,,Gift Card,Activate in Store,$35.00 
$60 Gift Card - Activate Remotely,$60.00 ,263-products,,,,,Gift Card,Activate Remotely,$60.00 ,,Gift Card,Activate Remotely,$60.00 
$60 Gift Card - Activate in Store,$60.00 ,263-products,,,,,Gift Card,Activate in Store,$60.00 ,,Gift Card,Activate in Store,$60.00 
$70 Gift Card - Activate Remotely,$70.00 ,267-products,,,,,Gift Card,Activate Remotely,$70.00 ,,Gift Card,Activate Remotely,$70.00 
$70 Gift Card - Activate in Store,$70.00 ,267-products,,,,,Gift Card,Activate in Store,$70.00 ,,Gift Card,Activate in Store,$70.00 
$150 Gift Card - Activate Remotely,$150.00 ,299-products,,,,,Gift Card,Activate Remotely,$150.00 ,,Gift Card,Activate Remotely,$150.00 
$25 Gift Card - Activate in Store,$25.00 ,215-products,,,,,Gift Card,Activate in Store,$25.00 ,,Gift Card,Activate in Store,$25.00 
$150 Gift Card - Activate in Store,$150.00 ,299-products,,,,,Gift Card,Activate in Store,$150.00 ,,Gift Card,Activate in Store,$150.00 
$25 Gift Card - Activate Remotely,$25.00 ,215-products,,,,,Gift Card,Activate Remotely,$25.00 ,,Gift Card,Activate Remotely,$25.00 
$40 Gift Card - Activate Remotely,$40.00 ,211-products,,,,,Gift Card,Activate Remotely,$40.00 ,,Gift Card,Activate Remotely,$40.00 
$15 Gift Card - Activate in Store,$15.00 ,215-products,,,,,Gift Card,Activate in Store,$15.00 ,,Gift Card,Activate in Store,$15.00 
test item for name change - new - test subcategory,$1.00 ,,,,,test item for name change - original,test item for name change - new,test subcategory,,,,,
test item for name change - original - test subcategory,$1.00 ,,,,,,test item for name change - original,test subcategory,,,,,
test item with notes - test subcategory,$1.00 ,,testing having initial comments in this field,,,,test item with notes,test subcategory,,,,,
Large Meat and Cheese Platter (Serves 12 - 16) - Ham + Smoked Turkey + Roasted Turkey,$94.99 ,491-products,,,,,Large Meat and Cheese Platter (Serves 12 - 16),Ham + Smoked Turkey + Roasted Turkey,,,Large Meat and Cheese Platter (Serves 12 - 16),Ham + Smoked Turkey + Roasted Turkey,
Large Meat and Cheese Platter (Serves 12 - 16) - Ham + Roasted Turkey,$94.99 ,491-products,,,,,Large Meat and Cheese Platter (Serves 12 - 16),Ham + Roasted Turkey,,,Large Meat and Cheese Platter (Serves 12 - 16),Ham + Roasted Turkey,
Medium Meat and Cheese Platter (Serves 6 - 10) - Ham + Smoked Turkey + Roasted Turkey,$69.99 ,487-products,,,,,Medium Meat and Cheese Platter (Serves 6 - 10),Ham + Smoked Turkey + Roasted Turkey,,,Medium Meat and Cheese Platter (Serves 6 - 10),Ham + Smoked Turkey + Roasted Turkey,
Medium Meat and Cheese Platter (Serves 6 - 10) - Ham + Roasted Turkey,$69.99 ,487-products,,,,,Medium Meat and Cheese Platter (Serves 6 - 10),Ham + Roasted Turkey,,,Medium Meat and Cheese Platter (Serves 6 - 10),Ham + Roasted Turkey,
Large Meat and Cheese Platter (Serves 12 - 16) - Ham + Smoked Turkey,$94.99 ,491-products,,,,,Large Meat and Cheese Platter (Serves 12 - 16),Ham + Smoked Turkey,,,Large Meat and Cheese Platter (Serves 12 - 16),Ham + Smoked Turkey,
Medium Meat and Cheese Platter (Serves 6 - 10) - Ham + Smoked Turkey,$69.99 ,487-products,,,,,Medium Meat and Cheese Platter (Serves 6 - 10),Ham + Smoked Turkey,,,Medium Meat and Cheese Platter (Serves 6 - 10),Ham + Smoked Turkey,
Pasta Salad,$2.99 ,583-products,,,,,Pasta Salad,,,,,,
Soup Mix - Mixed Bean,$8.59 ,527-products,,,,,Soup Mix,Mixed Bean,,,Soup Mix,Mixed Bean,
Soup Mix - Split Pea,$8.59 ,527-products,,,,,Soup Mix,Split Pea,,,Soup Mix,Split Pea,
$50 Gift Card - Activate Remotely,$50.00 ,183-products,,,,,Gift Card,Activate Remotely,$50.00 ,,Gift Card,Activate Remotely,$50.00 
$130 Gift Card - Activate in Store,$130.00 ,591-products,,,,,Gift Card,Activate in Store,$130.00 ,,Gift Card,Activate in Store,$130.00 
$130 Gift Card - Activate Remotely,$130.00 ,591-products,,,,,Gift Card,Activate Remotely,$130.00 ,,Gift Card,Activate Remotely,$130.00 
$50 Gift Card - Activate in Store,$50.00 ,183-products,,,,,Gift Card,Activate in Store,$50.00 ,,Gift Card,Activate in Store,$50.00 
$40 Gift Card - Activate in Store,$40.00 ,211-products,,,,,Gift Card,Activate in Store,$40.00 ,,Gift Card,Activate in Store,$40.00 
$80 Gift Card - Activate Remotely,$80.00 ,319-products,,,,,Gift Card,Activate Remotely,$80.00 ,,Gift Card,Activate Remotely,$80.00 
$80 Gift Card - Activate in Store,$80.00 ,319-products,,,,,Gift Card,Activate in Store,$80.00 ,,Gift Card,Activate in Store,$80.00 
$90 Gift Card - Activate Remotely,$90.00 ,331-products,,,,,Gift Card,Activate Remotely,$90.00 ,,Gift Card,Activate Remotely,$90.00 
Signature Meat Tray - Ham/Turkey,$7.39 ,239-products,,,,,Signature Meat Tray,Ham/Turkey,,,Signature Meat Tray,Ham/Turkey,
Signature Meat Tray - HoneyBaked Ham,$7.39 ,239-products,,,,,,,,,,,
Signature Meat Tray - Turkey,$7.39 ,239-products,,,,,Signature Meat Tray,Turkey,,,Signature Meat Tray,Turkey,
Signature Meat Tray - Ham,$7.39 ,239-products,,,,,Signature Meat Tray,Ham,,,Signature Meat Tray,Ham,
Ice Pack,$2.00 ,203-products,,,,,Ice Pack,,,,Ice Pack,,
Ice Pack - No Charge,$0.00 ,203-products,,,,,Ice Pack,No Charge,,,Ice Pack,No Charge,
Heat and Serve Side,$11.99 ,335-products,,,,,Heat and Serve Side,,,,Heat and Serve Side,,
,,451-products,,,,,"8lb ham, 2 sides, 1 dessert package",,,,"8lb ham, 2 sides, 1 dessert package",,
King's Hawaiian Rolls,$6.99 ,243-products,,,,,King's Hawaiian Rolls,,,,King's Hawaiian Rolls,,
Retail Sauce by the Bottle - Cranberry Walnut Chutney,$7.79 ,323-products,,,,,Retail Sauce by the Bottle,Cranberry Walnut Chutney,,,Retail Sauce by the Bottle,Cranberry Walnut Chutney,
Retail Sauce by the Bottle - Savory Mayo,$7.79 ,323-products,,,,,Retail Sauce by the Bottle,Savory Mayo,,,Retail Sauce by the Bottle,Savory Mayo,
Retail Sauce by the Bottle - Hickory Honey Mustard,$7.79 ,323-products,,,,,Retail Sauce by the Bottle,Hickory Honey Mustard,,,Retail Sauce by the Bottle,Hickory Honey Mustard,
Retail Sauce by the Bottle - Assorted,$7.79 ,323-products,,,,,Retail Sauce by the Bottle,Assorted,,,Retail Sauce by the Bottle,Assorted,
,,,,,,,,,,,,,
,,303-products,,,,,Cookie Tin Gift Basket,,,,Cookie Tin Gift Basket,,
Rum Cake Sampler,$29.99 ,511-products,,,,,Rum Cake Sampler,,,,Rum Cake Sampler,,
Coffee Cake Tray,$2.99 ,59-products,,,,,Coffee Cake Tray,,,,Coffee Cake Tray,,
Signature Meat Tray - Smoked Turkey Breast,$7.39 ,239-products,,,,,,,,,,,
8-Pack Ham and Cheddar Biscuits (Retail),$29.99 ,571-products,,,,,8-Pack Ham and Cheddar Biscuits (Retail),,,,8-Pack Ham and Cheddar Biscuits (Retail),,
Take and Bake Slider Tray - Garlic Herb Roasted Turkey Breast,$29.99 ,575-products,,,,,Take and Bake Slider Tray,Garlic Herb Roasted Turkey Breast,,,Take and Bake Slider Tray,Garlic Herb Roasted Turkey Breast,
Take and Bake Slider Tray - Ham and Swiss,$29.99 ,575-products,,,,,Take and Bake Slider Tray,Ham and Swiss,,,Take and Bake Slider Tray,Ham and Swiss,
$90 Gift Card - Activate in Store,$90.00 ,331-products,,,,,Gift Card,Activate in Store,$90.00 ,,Gift Card,Activate in Store,$90.00 
$45 Gift Card - Activate Remotely,$45.00 ,355-products,,,,,Gift Card,Activate Remotely,$45.00 ,,Gift Card,Activate Remotely,$45.00 
$45 Gift Card - Activate in Store,$45.00 ,355-products,,,,,Gift Card,Activate in Store,$45.00 ,,Gift Card,Activate in Store,$45.00 
$95 Gift Card - Activate Remotely,$95.00 ,363-products,,,,,Gift Card,Activate Remotely,$95.00 ,,Gift Card,Activate Remotely,$95.00 
$95 Gift Card - Activate in Store,$95.00 ,363-products,,,,,Gift Card,Activate in Store,$95.00 ,,Gift Card,Activate in Store,$95.00 
$85 Gift Card - Activate Remotely,$85.00 ,367-products,,,,,Gift Card,Activate Remotely,$85.00 ,,Gift Card,Activate Remotely,$85.00 
$85 Gift Card - Activate in Store,$85.00 ,367-products,,,,,Gift Card,Activate in Store,$85.00 ,,Gift Card,Activate in Store,$85.00 
$125 Gift Card - Activate Remotely,$125.00 ,375-products,,,,,Gift Card,Activate Remotely,$125.00 ,,Gift Card,Activate Remotely,$125.00 
"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies) - Turkey Roasted",$11.99 ,7-products,,,,,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Turkey Roasted,,N,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Turkey Roasted,
$125 Gift Card - Activate in Store,$125.00 ,375-products,,,,,Gift Card,Activate in Store,$125.00 ,,Gift Card,Activate in Store,$125.00 
$10 Gift Card - Activate in Store,$10.00 ,387-products,,,,,Gift Card,Activate in Store,$10.00 ,,Gift Card,Activate in Store,$10.00 
$120 Gift Card - Activate Remotely,$120.00 ,443-products,,,,,Gift Card,Activate Remotely,$120.00 ,,Gift Card,Activate Remotely,$120.00 
$120 Gift Card - Activate in Store,$120.00 ,443-products,,,,,Gift Card,Activate in Store,$120.00 ,,Gift Card,Activate in Store,$120.00 
$200 Gift Card - Activate Remotely,$200.00 ,495-products,,,,,Gift Card,Activate Remotely,$200.00 ,,Gift Card,Activate Remotely,$200.00 
$200 Gift Card - Activate in Store,$200.00 ,495-products,,,,,Gift Card,Activate in Store,$200.00 ,,Gift Card,Activate in Store,$200.00 
$110 Gift Card - Activate Remotely,$110.00 ,519-products,,,,,Gift Card,Activate Remotely,$110.00 ,,Gift Card,Activate Remotely,$110.00 
$110 Gift Card - Activate in Store,$110.00 ,519-products,,,,,Gift Card,Activate in Store,$110.00 ,,Gift Card,Activate in Store,$110.00 
Take and Bake Slider Tray - Tavern Club,$29.99 ,575-products,,,,,Take and Bake Slider Tray,Tavern Club,,,Take and Bake Slider Tray,Tavern Club,
$10 Gift Card - Activate Remotely,$10.00 ,387-products,,,,,Gift Card,Activate Remotely,$10.00 ,,Gift Card,Activate Remotely,$10.00 
$15 Gift Card - Activate Remotely,$15.00 ,215-products,,,,,Gift Card,Activate Remotely,$15.00 ,,Gift Card,Activate Remotely,$15.00 
"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies) - Ham/Turkey",$11.99 ,7-products,,,,,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Ham/Turkey,,N,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Ham/Turkey,
Gluten-Friendly Brownie,$3.49 ,71-products,,,,,,,,Y,,,
Unsweet Tea Gallon (each gal serves 8),$7.99 ,115-products,,Gallon Sweet Tea,,,Unsweet Tea Gallon (each gal serves 8),,,,Unsweet Tea Gallon (each gal serves 8),,
Sweet Tea Gallon (each gal serves 8),$7.99 ,115-products,,Gallon Sweet Tea,,,Sweet Tea Gallon (each gal serves 8),,,,Sweet Tea Gallon (each gal serves 8),,
Canned Drink - Coke Zero,$1.59 ,47-products,,,,,Canned Drink,Coke Zero,,,Canned Drink,Coke Zero,
Canned Drink - Sprite,$1.59 ,47-products,,,,,Canned Drink,Sprite,,,Canned Drink,Sprite,
Canned Drink - Diet Coke,$1.59 ,47-products,,,,,Canned Drink,Diet Coke,,,Canned Drink,Diet Coke,
Canned Drink - Coke,$1.59 ,47-products,,,,,Canned Drink,Coke,,,Canned Drink,Coke,
Canned Drink - Half Diet & Half Regular Sodas,$1.59 ,47-products,,Assorted Coca-Cola Beverages - Half Diet & Half Regular Sodas,Half Diet & Half Regular Sodas,,Canned Drink,Half Diet & Half Regular Sodas,,,Canned Drink,Half Diet & Half Regular Sodas,
Canned Drink - Assorted Regular Sodas,$1.59 ,47-products,,Assorted Coca-Cola Beverages - Assorted Regular Sodas,Assorted Regular Sodas,,Canned Drink,Assorted Regular Sodas,,,Canned Drink,Assorted Regular Sodas,
Canned Drink - Assorted Diet Sodas,$1.59 ,47-products,,Assorted Coca-Cola Beverages - Assorted Diet Sodas,Assorted Diet Sodas,,Canned Drink,Assorted Diet Sodas,,,Canned Drink,Assorted Diet Sodas,
Bottled Water,$1.99 ,51-products,,Bottled Water,,,Bottled Water,,,,Bottled Water,,
Sandwich Builder Buffet - Smoked Turkey,$9.49 ,79-products,,Sandwich Builder Buffet - Smoked Turkey Breast,Smoked Turkey Breast,,Sandwich Builder Buffet,Smoked Turkey,,,Sandwich Builder Buffet,Smoked Turkey,
Sandwich Builder Buffet - Roasted Turkey,$9.49 ,79-products,,Sandwich Builder Buffet - Roasted Turkey Breast,Roasted Turkey Breast,,Sandwich Builder Buffet,Roasted Turkey,,,Sandwich Builder Buffet,Roasted Turkey,
Sandwich Builder Buffet - 1/2 Ham and 1/2 Turkey,$9.49 ,79-products,,Sandwich Builder Buffet - Assorted,Assorted,,Sandwich Builder Buffet,1/2 Ham and 1/2 Turkey,,,Sandwich Builder Buffet,1/2 Ham and 1/2 Turkey,
Sandwich Builder Buffet - Ham,$9.49 ,79-products,,Sandwich Builder Buffet - HoneyBaked Ham,HoneyBaked Ham,,Sandwich Builder Buffet,Ham,,,Sandwich Builder Buffet,Ham,
Supreme Sandwich Tray (includes chips),$10.49 ,75-products,,Supreme Sandwich Tray,,,Supreme Sandwich Tray (includes chips),,,,Supreme Sandwich Tray (includes chips),,
VIP Buffet - Turkey Smoked,$11.99 ,7-products,,VIP Buffet - Smoked Turkey Breast,Smoked Turkey Breast,,VIP Buffet,Turkey Smoked,,,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Turkey Smoked,
VIP Buffet - Turkey Roasted,$11.99 ,7-products,,VIP Buffet - Roasted Turkey Breast,Roasted Turkey Breast,,VIP Buffet,Turkey Roasted,,,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Turkey Roasted,
Lemonade Gallon (each gal serves 8),$7.99 ,111-products,,Gallon Sweet Tea,,,Lemonade Gallon (each gal serves 8),,,,Lemonade Gallon (each gal serves 8),,
VIP Buffet - Ham/Turkey,$11.99 ,7-products,,VIP Buffet - Assorted,Assorted,,VIP Buffet,Ham/Turkey,,,"VIP Buffet (Includes Signature meats, chips, assorted breads, cheeses, lettuce and tomatoes, sauces, and a platter of assorted cookies)",Ham/Turkey,
Sweet Tea Gallon,$7.99 ,115-products,,Gallon Sweet Tea,,,Sweet Tea Gallon,,,,,,
Lemonade Gallon,$7.99 ,111-products,,Gallon Lemonade,,,Lemonade Gallon,,,,,,
"Breakfast Sandwiches - Bacon, Egg and Cheddar",$6.99 ,27-products,,"Signature Breakfast Sandwich Tray - Bacon, Egg & Cheddar","Bacon, Egg & Cheddar",,Breakfast Sandwiches,"Bacon, Egg and Cheddar",,,Breakfast Sandwiches,"Bacon, Egg and Cheddar",
"Breakfast Sandwiches - Turkey, Egg and Cheddar",$6.99 ,27-products,,"Signature Breakfast Sandwich Tray - Turkey, Egg & Cheddar","Turkey, Egg & Cheddar",,Breakfast Sandwiches,"Turkey, Egg and Cheddar",,,Breakfast Sandwiches,"Turkey, Egg and Cheddar",
"Breakfast Sandwiches - Ham, Bacon, Egg and Cheddar",$6.99 ,27-products,,"Signature Breakfast Sandwich Tray - HoneyBaked Ham, Bacon, Egg & Cheddar","HoneyBaked Ham, Bacon, Egg & Cheddar",,Breakfast Sandwiches,"Ham, Bacon, Egg and Cheddar",,,Breakfast Sandwiches,"Ham, Bacon, Egg and Cheddar",
"Breakfast Sandwiches - Ham, Egg and Cheddar",$6.99 ,27-products,,"Signature Breakfast Sandwich Tray - HoneyBaked Ham, Egg & Cheddar","HoneyBaked Ham, Egg & Cheddar",,Breakfast Sandwiches,"Ham, Egg and Cheddar",,,Breakfast Sandwiches,"Ham, Egg and Cheddar",
Breakfast Sandwiches - Assorted,$6.99 ,27-products,,Signature Breakfast Sandwich Tray - Assorted,Assorted,,Breakfast Sandwiches,Assorted,,,Breakfast Sandwiches,Assorted,
"Breakfast Box - Egg and Cheddar (incl. breakfast sandwich, a pastry, and yogurt)",$11.49 ,155-products,,,,,Breakfast Box,"Egg and Cheddar (incl. breakfast sandwich, a pastry, and yogurt)",,,Breakfast Box,"Egg and Cheddar (incl. breakfast sandwich, a pastry, and yogurt)",
"Breakfast Box - Bacon, Egg and Cheddar (incl. breakfast sandwich, a pastry, and yogurt)",$11.49 ,155-products,,,,,Breakfast Box,"Bacon, Egg and Cheddar (incl. breakfast sandwich, a pastry, and yogurt)",,,Breakfast Box,"Bacon, Egg and Cheddar (incl. breakfast sandwich, a pastry, and yogurt)",
"Breakfast Box - Turkey, Egg and Cheddar (incl. breakfast sandwich, a pastry, and yogurt)",$11.49 ,155-products,,,,,Breakfast Box,"Turkey, Egg and Cheddar (incl. breakfast sandwich, a pastry, and yogurt)",,,Breakfast Box,"Turkey, Egg and Cheddar (incl. breakfast sandwich, a pastry, and yogurt)",
